"artist_name","cnts","popularity_average"
"DJ Challenge X","64","9.14"
"Eduardo Luzquiños","55","31.42"
"Gill the ILL","55","12.55"
"Doja Cat","34","73.06"
"Justin Bieber","29","73.48"
"Remix Kingz","25","31.92"
"Drake","25","71.04"
"DJ Opus","25","15.96"
"Megan Thee Stallion","24","68.46"
"Ariana Grande","22","71.00"
"Ex Battalion","22","44.00"
"ALLMO$T","19","35.47"
"Matthaios","19","56.00"
"Rihanna","17","63.53"
"Chris Brown","17","65.82"
"Black Eyed Peas","15","60.93"
"Olivia Rodrigo","14","90.93"
"24kGoldn","14","75.36"
"Dua Lipa","14","78.50"
"T-Pain","14","62.21"
"Pitbull","14","62.57"
"Jawsh 685","14","58.64"
"Lady Gaga","13","71.38"
"Katy Perry","12","69.50"
"The Remix Guys","12","11.83"
"Andrew E.","12","41.42"
"Nicki Minaj","12","62.75"
"Pop Smoke","12","79.08"
"Sean Kingston","11","59.27"
"Cardi B","11","80.64"
"Nofin Asia","11","2.55"
"Don Toliver","11","57.18"
"Lil Nas X","11","72.64"
"Tiagz","11","27.55"
"DaBaby","11","76.55"
"Jr Crown","11","58.82"
"DJ Haning","11","0.00"
"Billie Eilish","10","84.80"
"Kanye West","10","74.70"
"John Roa","10","57.90"
"Lil Uzi Vert","10","70.10"
"BTS","10","72.60"
"Soulja Boy","10","56.80"
"SZA","10","78.20"
"DJ Quarantine","10","17.80"
"Miley Cyrus","9","67.11"
"Bruno Mars","9","86.33"
"Drinche","9","32.22"
"Ricky Desktop","9","53.56"
"DJ TikTok","9","0.11"
"Harry Styles","9","79.33"
"Flow G","9","53.56"
"ZaeHD & CEO","9","34.89"
"BLACKPINK","9","28.78"
"Kendrick Lamar","9","74.22"
"Tyga","8","61.50"
"Playboi Carti","8","69.75"
"Taylor Swift","8","65.75"
"KBFR","8","29.00"
"Nelly Furtado","8","73.50"
"Internet Money","8","77.00"
"Justin Timberlake","8","77.50"
"Beyoncé","8","68.38"
"Saweetie","7","76.00"
"DJ Viral","7","0.00"
"Ski Mask The Slump God","7","74.14"
"Sir Winz","7","12.14"
"Arizona Zervas","7","55.29"
"Ciara","7","63.00"
"Shaggy","7","50.57"
"DJ Desa","7","22.86"
"Koosen","7","65.00"
"Tones And I","7","76.71"
"SAINt JHN","7","57.57"
"Little Mix","7","30.14"
"Boney M.","7","69.29"
"MASN","7","16.00"
"Popp Hunna","7","58.71"
"Bazzi","7","71.43"
"Lewis Capaldi","7","83.71"
"blackbear","7","43.14"
"Juan Caoile","7","35.29"
"Loui","7","47.86"
"Sean Paul","7","62.29"
"K CAMP","7","57.29"
"Jeremih","7","72.71"
"YNW Melly","6","68.50"
"DJ Red Core","6","38.67"
"Jeremy Zucker","6","73.83"
"Moneybagg Yo","6","69.00"
"Blxst","6","68.83"
"Usher","6","75.67"
"Mike Posner","6","77.50"
"VIZE","6","67.00"
"King Critical","6","19.17"
"Josefine","6","54.67"
"CHROMANCE","6","61.00"
"Y2K","6","67.67"
"DripReport","6","35.83"
"MC Einstein","6","63.83"
"The Weeknd","6","66.17"
"Puri","6","57.17"
