"loudness","energy"
"-5.423","0.8"
"-8.504","0.391"
"-5.16","0.767"
"-2.371","0.839"
"-7.454","0.463"
"-6.504","0.8"
"-7.636","0.393"
"-4.709","0.785"
"-5.187","0.459"
"-6.144","0.676"
"-3.319","0.868"
"-5.268","0.833"
"-8.043","0.674"
"-8.507","0.38"
"-5.377","0.715"
"-5.941","0.73"
"-8.337","0.464"
"-5.64","0.609"
"-3.541","0.701"
"-10.203","0.685"
"-6.655","0.584"
"-8.964","0.465"
"-7.222","0.612"
"-10.179","0.335"
"-5.603","0.677"
"-10.606","0.584"
"-6.306","0.647"
"-5.356","0.753"
"-3.941","0.787"
"-6.721","0.482"
"-7.13","0.836"
"-8.075","0.719"
"-5.664","0.742"
"-6.584","0.67"
"-6.128","0.466"
"-3.035","0.855"
"-13.124","0.463"
"-4.619","0.836"
"-6.181","0.696"
"-5.261","0.823"
"-5.602","0.574"
"-6.044","0.795"
"-4.871","0.79"
"-3.131","0.844"
"-6.963","0.517"
"-10.256","0.667"
"-3.282","0.855"
"-7.896","0.862"
"-1.122","0.939"
"-5.373","0.755"
"-7.418","0.72"
"-2.862","0.882"
"-2.199","0.929"
"-6.48","0.621"
"-4.74","0.565"
"-2.971","0.652"
"-3.508","0.745"
"-14.201","0.157"
"-2.717","0.879"
"-10.778","0.491"
"-4.511","0.73"
"-7","0.861"
"-4.771","0.571"
"-7.902","0.602"
"-6.336","0.597"
"-4.959","0.598"
"-4.754","0.606"
"-4.192","0.805"
"-6.558","0.74"
"-8.112","0.469"
"-3.896","0.882"
"-4.955","0.76"
"-9.323","0.451"
"-4.895","0.591"
"-5.864","0.711"
"-7.857","0.508"
"-9.919","0.603"
"-9.484","0.574"
"-3.813","0.874"
"-7.039","0.812"
"-4.051","0.934"
"-5.482","0.802"
"-9.662","0.623"
"-6.558","0.506"
"-3.787","0.825"
"-4.96","0.656"
"-6.865","0.695"
"-12.083","0.392"
"-3.579","0.843"
"-4.243","0.557"
"-12.145","0.555"
"-2.949","0.843"
"-11.012","0.605"
"-7.343","0.585"
"-7.964","0.616"
"-5.718","0.631"
"-8.495","0.563"
"-5.554","0.53"
"-5.293","0.584"
"-4.981","0.438"
"-3.724","0.724"
"-4.926","0.8"
"-4.707","0.873"
"-4.344","0.916"
"-5.068","0.583"
"-6.956","0.614"
"-5.942","0.753"
"-4.94","0.658"
"-3.233","0.808"
"-8.981","0.398"
"-4.496","0.75"
"-6.005","0.782"
"-4.807","0.634"
"-7.929","0.665"
"-7.834","0.408"
"-6.893","0.663"
"-7.86","0.498"
"-9.635","0.444"
"-4.802","0.454"
"-3.17","0.8"
"-4.22","0.949"
"-4.321","0.921"
"-4.877","0.859"
"-3.591","0.94"
"-4.258","0.751"
"-3.441","0.677"
"-6.618","0.554"
"-7.438","0.527"
"-4.194","0.67"
"-6.094","0.543"
"-7.759","0.769"
"-5.995","0.502"
"-4.488","0.904"
"-3.293","0.795"
"-8.566","0.329"
"-6.097","0.978"
"-5.014","0.684"
"-7.682","0.505"
"-8.279","0.545"
"-7.9","0.436"
"-7.116","0.472"
"-5.814","0.853"
"-8.676","0.459"
"-7.961","0.574"
"-13.191","0.288"
"-4.62","0.806"
"-6.108","0.774"
"-4.892","0.732"
"-6.715","0.644"
"-4.355","0.95"
"-5.002","0.605"
"-5.562","0.583"
"-8.761","0.436"
"-4.12","0.766"
"-8.505","0.782"
"-8.784","0.485"
"-3.049","0.85"
"-6.682","0.508"
"-5.356","0.754"
"-8.311","0.789"
"-6.504","0.229"
"-6.938","0.744"
"-5.957","0.79"
"-10.541","0.597"
"-8.858","0.41"
"-6.865","0.695"
"-9.016","0.524"
"-6.34","0.847"
"-6.359","0.443"
"-6.044","0.795"
"-5.034","0.754"
