"speechiness","track_name"
"0.0428","'Di Lahat"
"0.0349","'Di Na Babalik"
"0.0517","'Di Na Muli"
"0.0393","'Tis the Season"
"0.117","#BrooklynBloodPop!"
"0.04","#Sweetladychallenge"
"0.439","#Twerkit"
"0.404","#WIPEITDOWN"
"0.0417","(Dying Inside) To Hold You - Heartbreak Radio Edit"
"0.324","(i hope you) miss me"
"0.0408","...And To Those I Love, Thanks For Sticking Around"
"0.087","...Baby One More Time"
"0.0307","...Baby One More Time"
"0.284","1 Thot 2 Thot Red Thot Blue Thot"
"0.31","10 Freaky Girls (with 21 Savage)"
"0.0259","10,000 Hours (with Justin Bieber)"
"0.137","100 Racks (Offset feat. Playboi Carti)"
"0.0556","120 Bpm - Toma"
"0.0735","16 Shots"
"0.066","19 11 17"
"0.217","2 Cases"
"0.107","2 On (feat. ScHoolboy Q)"
"0.616","2 Phones (Screwed & Chopped)"
"0.0566","2 Phút Hơn - KAIZ Remix"
"0.0674","2 Times"
"0.224","2/Catorce"
"0.117","20 Min"
"0.136","20 Min - Chopped and Screwed"
"0.119","2002 - Remix"
"0.0342","21st Century Vampire"
"0.333","223's (feat. 9lokknine)"
"0.227","223s"
"0.0736","24 (feat. Lil Baby)"
"0.0587","24 Hours - Jeaux Remix"
"0.0847","3 Musketeers"
"0.291","3 Times In A Row"
"0.248","3 Vets"
"0.094","34+35"
"0.0794","3G (feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers) - Remix"
"0.0605","4ever"
"0.144","4K"
"0.417","5 On It - 71 Digits Remix"
"0.465","7 rings (feat. 2 Chainz) - Remix"
"0.224","80's"
"0.0394","80 Juta"
"0.0851","9 Lives (Certified West Coast Killer) (feat. Too $hort & Ty$)"
"0.0516","A Little Bit of Faith"
"0.0413","A Little Bit of Faith - le Shuuk Remix"
"0.0485","A Neverending Dream - Radio Version"
"0.208","A Pimp Named Slickback"
"0.0974","A Pimp Named Slickback Slowed - Remix"
"0.0293","A Sunday Kind Of Love"
"0.0379","A Thousand Miles"
"0.0434","A Window to the Past"
"0.0851","A.M."
"0.183","ABC (feat. DJ Chose & LightSkinKeisha)"
"0.365","Absolutely Anything"
"0.0958","Acompanha o Grave"
"0.188","Act Up"
"0.189","Act Up"
"0.292","ACTUP (with JAHMED)"
"0.398","Adderall (Corvette Corvette)"
"0.368","Adderall (Corvette Corvette)"
"0.299","Adderall (Corvette Corvette) - Remix"
"0.161","Adderall Slowed - Remix"
"0.129","Addison Rae"
"0.268","Address It"
"0.225","Address It"
"0.0451","Adek Jilbab Ungu - DJ Opus Remix"
"0.0483","Adore You"
"0.35","AERO (Blow The Whistle)"
"0.43","Aesthetic"
"0.253","Afraid"
"0.0474","Afraid of You"
"0.0525","After Party"
"0.0376","After Party"
"0.0675","After Party - CHOPNOTSLOP REMIX"
"0.0894","After the Afterparty (feat. Lil Yachty)"
"0.227","After the Cash"
"0.0262","Afterglow"
"0.0369","Afterlife"
"0.043","Against the Rest"
"0.266","Agua (with J Balvin)"
"0.07","Ahí - Ahí Challenge"
"0.0699","Ain't No Fun (If the Homies Cant Have None) (feat. Nate Dogg, Warren G & Kurupt)"
"0.142","Ain't No Sunshine"
"0.445","Ajena (with Myke Towers, Dylan Fuentes)"
"0.378","AK47 É o Porte do Homem"
"0.0635","Akala"
"0.0523","Akala Ko Nung Una (feat. Future Thug)"
"0.0719","Aki Tiban - Live"
"0.0412","Akimilaku Bermain Dubstep - Remix"
"0.0275","Akin Ka Na Lang - Himig Handog Pop Lovesongs 2014 Version"
"0.0272","Aking Prinsesa"
"0.0648","Ako'y Tinamaan"
"0.0311","Ako Muna"
"0.0394","Ako Na Lang Sana"
"0.0483","Aku Lagi Bete"
"0.105","Aku Suka Body Bapak Yanto"
"0.0472","Aku Suka Body Mama Muda"
"0.0758","Alabang Girls"
"0.0567","alien jewelry"
"0.544","All About Cake"
"0.033","All Around The World (La La La)"
"0.0882","All Comes Back To You"
